OTU_ID	Rank_1	Rank_2	Rank_3	Rank_4	Rank_5	Rank_6	Rank_7	Rank_8	Isolate	Isolate_percent_id	Isolate_query_cover	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
OTU_24	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Comamonadaceae_1	Ramlibacter_1				0	0	Bacteria_Proteobacteria	100.000	100
OTU_1761	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Xanthobacteraceae_1					0	0	Bacteria_Proteobacteria	98.413	100
OTU_2	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Pseudonocardiales_1	Pseudonocardiaceae_1	Pseudonocardia_1				0	0	Bacteria_Actinobacteriota	100.000	100
OTU_12841	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Caulobacterales_1	Caulobacteraceae_1	Phenylobacterium_1				0	0	Bacteria_Proteobacteria	97.600	100
OTU_106	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Labraceae_1	Labrys_1				0	0	Bacteria_Proteobacteria	100.000	100
OTU_440	Bacteria_1	Acidobacteriota_1	Acidobacteriae_1	Bryobacterales_1	Bryobacteraceae_1	Bryobacter_1				0	0	Bacteria_Acidobacteriota	99.600	100
OTU_4579	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Legionellales_1	Legionellaceae_1	Legionella_1				0	0	Bacteria_Proteobacteria	98.400	100
OTU_95	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Propionibacteriales_1	Nocardioidaceae_1	Aeromicrobium_1				0	0	Bacteria_Actinobacteriota	100.000	100
OTU_16	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Rhizobiaceae_1	Ensifer_1			Ensifer_sp.|GLBRC1067	100.000	77	Bacteria_Proteobacteria	100.000	100
OTU_465	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Kineosporiales_1	Kineosporiaceae_1	Angustibacter_1				0	0	Bacteria_Actinobacteriota	99.200	100
OTU_1561	Bacteria_1	Actinobacteriota_1	Acidimicrobiia_1	Microtrichales_1	Uncultured_212					0	0	Bacteria_Actinobacteriota	99.600	100
OTU_98	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1						0	0	Chloroplast	98.800	100
OTU_3957	Bacteria_1	Planctomycetota_1	Phycisphaerae_1	Tepidisphaerales_1	Wd2101_soil_group_1					0	0	Bacteria_Planctomycetota	97.600	100
OTU_1521	Bacteria_1	Firmicutes_1	Bacilli_1							0	0		0	0
OTU_2350	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Micrococcales_1	Microbacteriaceae_1					0	0	Bacteria_Actinobacteriota	99.600	100
OTU_231	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Reyranellales_1	Reyranellaceae_1	Reyranella_1				0	0	Bacteria_Proteobacteria	100.000	100
OTU_341	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Micromonosporales_1	Micromonosporaceae_1	Actinoplanes_1				0	0	Bacteria_Actinobacteriota	100.000	100
OTU_56	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Rhizobiaceae_1	Allorhizobium-neorhizobium-pararhizobium-rhizobium_1			Agrobacterium_rhizogenes|GLBRC1038	98.605	86	Bacteria_Proteobacteria	100.000	100
OTU_47	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1						0	0		0	0
OTU_84	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Xanthomonadales_1	Rhodanobacteraceae_1	Luteibacter_1				0	0	Bacteria_Proteobacteria	100.000	100
