OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Isolate	Isolate_percent_id	Isolate_query_cover	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
FOTU_207	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora sp 		0	0	Fungi	100.000	80
FOTU_491	Fungi	Basidiomycota	Agaricomycetes	Agaricales					0	0	Fungi	92.537	66
FOTU_357	Fungi	Basidiomycota							0	0	Fungi	85.644	100
FOTU_7922	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae				0	0	Fungi	98.462	98
FOTU_148	Fungi	Ascomycota	Leotiomycetes	Helotiales	Incertae_sedis	Spirosphaera	Spirosphaera cupreorufescens		0	0	Fungi	98.870	89
FOTU_263	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metacordyceps	Metacordyceps chlamydosporia		0	0	Fungi	100.000	81
FOTU_10071	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae				0	0	Fungi	97.030	100
FOTU_243	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum			0	0	Fungi	96.000	100
FOTU_5405	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus			0	0	Fungi	99.492	99
FOTU_267	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae				0	0	Fungi	100.000	77
FOTU_7456	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus destructans		0	0	Fungi	96.000	100
FOTU_166	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Pseudophialophora	Pseudophialophora schizachyrii		0	0	Fungi	97.512	100
FOTU_141	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae				0	0	Fungi	83.562	70
FOTU_134	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae				0	0	Fungi	98.701	77
FOTU_374	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae	Neohelicomyces	Neohelicomyces hyalosporus		0	0	Fungi	89.418	94
FOTU_247	Fungi	Ascomycota							0	0	Fungi	96.721	61
FOTU_2641	Fungi	Basidiomycota	Agaricomycetes	Auriculariales					0	0	Fungi	88.961	77
FOTU_287	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae				0	0	Fungi	100.000	86
FOTU_337	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Galerina			0	0	Fungi	92.265	91
FOTU_347	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales					0	0	Fungi	97.000	100
FOTU_108	Fungi	Ascomycota							0	0		0	0
FOTU_6955	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Subulicystidium	Subulicystidium sp 		0	0	Fungi	92.896	92
FOTU_323	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus irregularis		0	0	Fungi	98.500	100
FOTU_10516	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae			Podospora_australis|GLBRC665	99.459	92	Fungi	92.647	100
FOTU_445	Fungi	Basidiomycota	Agaricomycetes	Geastrales					0	0	Fungi	99.351	77
FOTU_264	Fungi	Ascomycota	Leotiomycetes	Helotiales	Incertae_sedis	Chalara			0	0	Fungi	95.000	100
FOTU_6455	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae				0	0	Fungi	98.693	77
FOTU_1249	Fungi								0	0		0	0
FOTU_957	Fungi	Ascomycota	Sordariomycetes	Hypocreales					0	0	Fungi	84.783	92
FOTU_139	Fungi	Ascomycota	Sordariomycetes	Branch06				Uncultured_fungus|GLBRC268	99.435	89	Fungi	96.517	100
FOTU_112	Fungi								0	0	Fungi	79.630	99
FOTU_218	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp 		0	0	Fungi	100.000	79
FOTU_539	Fungi	Entorrhizomycota	Entorrhizomycetes	Entorrhizales	Entorrhizaceae	Entorrhiza	Entorrhiza tenuis		0	0	Fungi	93.069	100
FOTU_122	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae				0	0	Fungi	94.330	97
FOTU_151	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	Plectosphaerella niemeijerarum	Plectosphaerella_niemeijerarum_MG386080	100.000	97	Fungi	99.487	98
