OTU_ID,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,Phylum,Class,Taxon
OTU_34,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Bacteroidetes,Sphingobacteria,Ferruginibacter
OTU_35,4,7,4,1,0,11,15,10,43,3,0,4,1,0,0,12,8,2,0,0,3,0,11,4,0,0,1,Proteobacteria,Betaproteobacteria,Herbaspirillum
OTU_36,3,12,6,3,6,4,7,4,9,11,5,9,9,3,24,2,7,12,14,8,13,28,28,13,19,6,12,Proteobacteria,Alphaproteobacteria,Sphingomonas
OTU_37,21,0,5,0,0,0,0,0,0,0,0,0,0,0,42,0,4,1,0,0,3,0,5,0,2,0,2,Bacteroidetes,Flavobacteriia,Flavobacterium
OTU_38,8,16,9,7,13,21,12,9,5,5,24,15,8,15,14,8,25,11,3,6,2,2,6,2,10,4,6,Firmicutes,Bacilli,Bacillus
OTU_39,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,Bacteroidetes,Flavobacteria,Chryseobacterium
OTU_40,4,4,0,1,0,1,2,1,6,3,3,3,4,3,8,6,0,3,10,6,4,6,6,8,16,17,3,Firmicutes,,Gp1
OTU_41,2,0,3,0,3,5,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,2,Firmicutes,Bacilli,Bacillus
OTU_42,28,68,68,28,66,59,40,26,19,25,20,74,65,47,37,23,28,25,17,36,41,31,46,46,33,29,67,Proteobacteria,Alphaproteobacteria,Rhodoplanes
OTU_43,10,4,4,2,5,0,4,3,1,18,7,8,6,4,8,11,8,16,6,5,6,4,2,6,11,17,16,Firmicutes,,Gp1
OTU_44,11,3,5,3,0,3,4,0,3,1,0,0,3,0,3,0,1,0,4,0,0,0,0,2,2,0,0,Proteobacteria,Betaproteobacteria,Janthinobacterium
OTU_45,15,3,9,6,6,11,4,9,1,0,5,6,6,3,2,0,5,0,9,21,10,16,13,8,12,9,5,Actinobacteria,Actinobacteria,Actinoallomurus
OTU_46,2,5,2,0,0,0,4,0,0,1,0,0,0,0,0,0,4,0,6,12,2,15,7,4,5,1,3,Bacteroidetes,Sphingobacteria,Ferruginibacter
OTU_47,22,16,17,4,12,17,15,0,35,28,26,27,34,37,39,33,38,41,21,27,34,34,17,7,10,38,4,Proteobacteria,Betaproteobacteria,Burkholderia
OTU_48,2,13,11,18,20,10,16,6,10,3,8,7,9,8,5,6,6,5,0,0,6,0,11,4,0,2,24,Actinobacteria,Actinobacteria,Actinoallomurus
OTU_49,2,7,12,3,2,9,9,12,16,1,5,3,12,3,10,9,6,7,12,13,11,18,8,9,7,2,9,Proteobacteria,Alphaproteobacteria,Pseudolabrys
OTU_50,6,2,12,14,15,10,3,14,3,19,34,7,15,19,20,9,4,11,2,22,14,4,8,15,12,3,7,Acidobacteria,,Gp1
OTU_51,4,0,6,4,7,7,1,12,13,0,6,0,3,5,4,0,0,4,0,4,4,0,4,2,9,3,1,Chloroflexi,,Ktedonobacter
OTU_52,50,26,17,31,76,34,14,26,9,12,16,29,18,6,9,10,9,13,29,46,19,30,40,19,30,27,22,Actinobacteria,,Conexibacter
OTU_53,8,19,12,20,13,24,9,7,16,24,39,10,24,25,11,16,14,18,12,23,23,6,15,12,30,13,15,Proteobacteria,Gammaproteobacteria,Ectothiorhodosinus
OTU_54,3,3,1,21,19,0,0,2,0,10,6,14,7,12,8,9,7,11,0,12,9,2,15,10,4,12,4,Proteobacteria,Gammaproteobacteria,Cytophaga
OTU_55,8,6,6,15,0,3,5,9,7,8,8,9,12,19,7,12,17,8,9,21,19,7,10,18,11,12,9,Acidobacteria,,Gp3
OTU_56,9,15,17,1,1,14,9,7,5,7,0,3,15,6,4,2,11,3,4,0,0,3,3,5,4,9,4,Acidobacteria,,Gp3
OTU_57,3,0,17,8,4,2,2,0,8,13,5,6,8,9,9,16,5,10,29,5,5,11,5,8,7,13,2,Bacteroidetes,Sphingobacteria,Flavisolibacter
OTU_58,2,2,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,Bacteroidetes,Flavobacteria,Chryseobacterium
OTU_59,0,0,1,1,0,3,4,3,1,2,1,0,0,0,2,0,2,0,0,0,0,0,0,0,2,21,0,Chloroflexi,,Thermogemmatispora
OTU_60,2,7,3,0,0,1,3,3,0,0,0,1,1,0,0,0,3,0,3,2,0,6,0,0,0,0,2,Actinobacteria,,Nocardioides
OTU_61,14,11,9,11,12,18,7,26,11,11,19,14,14,6,13,25,18,21,4,13,10,7,10,5,5,10,5,Acidobacteria,,Gp1
OTU_62,18,30,18,11,14,23,23,23,18,14,15,13,21,10,21,29,18,23,14,10,11,13,10,11,1,7,21,Actinobacteria,,Conexibacter
OTU_63,3,2,2,4,6,2,3,2,0,2,0,6,0,2,1,1,0,0,3,3,2,0,7,0,6,2,10,Proteobacteria,Alphaproteobacteria,Methylocapsa
OTU_64,8,13,10,23,23,40,12,13,11,16,40,21,20,41,14,18,11,17,2,6,13,0,7,0,4,0,4,Firmicutes,,Dethiobacter
OTU_65,9,6,0,2,1,0,0,0,2,5,8,4,1,2,0,0,4,0,11,5,0,6,3,4,2,8,1,Actinobacteria,Actinobacteria,Actinocorallia
OTU_66,5,0,2,6,7,2,4,6,2,24,6,10,8,3,22,22,12,33,14,0,1,20,13,1,1,5,0,Bacteroidetes,Sphingobacteria,Mucilaginibacter
OTU_67,11,10,11,8,4,14,18,7,9,15,10,12,8,6,10,7,5,3,21,12,13,20,17,18,11,9,17,Acidobacteria,,Gp3
OTU_68,15,21,11,6,12,25,24,19,15,9,2,1,10,14,10,5,8,5,11,11,13,3,12,5,8,4,3,Proteobacteria,Alphaproteobacteria,Starkeya
OTU_69,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,5,Bacteroidetes,Sphingobacteria,Terrimonas
OTU_70,10,0,17,0,7,0,5,2,1,0,0,4,0,0,0,2,1,0,4,0,2,12,0,0,0,0,0,Bacteroidetes,Sphingobacteria,Pedobacter
OTU_71,14,14,14,34,38,25,6,23,21,6,28,14,7,13,19,13,14,16,7,11,25,2,19,16,9,5,5,Acidobacteria,,Gp1
OTU_72,12,21,16,8,7,26,28,22,39,12,24,9,4,13,19,9,9,12,2,14,13,1,17,7,7,2,3,Firmicutes,Bacilli,Caldalkalibacillus
OTU_73,3,9,4,3,6,7,1,5,2,4,4,4,6,4,10,6,10,4,5,1,5,2,6,3,0,1,7,Proteobacteria,Alphaproteobacteria,Rhizobium
OTU_74,6,6,3,5,9,3,1,0,1,2,0,0,0,0,0,0,0,0,4,0,0,7,1,3,2,2,3,Acidobacteria,,Gp3
OTU_75,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,6,2,7,5,6,0,1,4,Acidobacteria,,Gp1
OTU_76,1,0,0,0,0,1,2,0,1,1,2,0,1,1,2,0,2,2,5,0,0,8,4,2,0,0,1,Proteobacteria,Alphaproteobacteria,Devosia
OTU_77,2,5,3,8,3,3,5,8,5,6,16,10,4,1,9,13,6,2,14,24,20,7,5,15,16,15,1,Acidobacteria,,Gp1
OTU_78,20,6,2,0,2,2,0,0,2,0,1,4,2,7,3,0,4,0,19,14,3,11,11,10,7,12,4,Actinobacteria,Actinobacteria,Actinoallomurus
OTU_79,24,9,18,17,11,33,9,7,12,11,13,30,18,13,4,9,8,15,7,21,12,10,18,20,5,11,12,Actinobacteria,,Conexibacter
OTU_80,14,0,0,0,0,2,2,0,6,2,0,8,2,2,2,6,4,3,2,1,6,1,6,3,6,13,2,Proteobacteria,Betaproteobacteria,Collimonas
OTU_81,2,2,6,0,2,2,5,2,1,3,2,3,2,5,0,0,6,3,8,4,1,3,11,6,0,1,1,Proteobacteria,Alphaproteobacteria,Anderseniella
OTU_82,1,9,7,9,5,1,5,1,7,3,0,0,2,0,6,9,0,13,12,4,8,5,10,4,6,6,7,Bacteroidetes,Sphingobacteria,Mucilaginibacter
OTU_83,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteroidetes,Sphingobacteria,Pedobacter
OTU_84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,Bacteroidetes,Sphingobacteria,Ferruginibacter
OTU_85,8,10,4,7,7,7,6,7,17,12,11,6,10,8,5,8,4,1,8,12,25,13,12,15,5,10,10,,,Gp1
OTU_86,0,0,2,0,2,0,0,4,0,0,0,1,0,0,1,0,0,1,5,0,0,2,0,0,1,0,0,Bacteroidetes,Sphingobacteria,Terrimonas
OTU_87,0,2,1,4,7,2,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Actinobacteria,,Oryzihumus
OTU_88,8,25,12,19,17,11,20,27,14,13,19,14,19,23,11,13,11,9,8,14,28,11,24,24,26,14,18,Actinobacteria,,Rubrobacter
