OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1326	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_1327	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Phaeotremellaceae	Phaeotremella	Phaeotremella sp 
OTU_1328	Fungi	Ascomycota	Leotiomycetes	Helotiales	Incertae_sedis	Cadophora	Cadophora sp 
OTU_1329	Fungi	Basidiomycota	Microbotryomycetes	Incertae_sedis	Chrysozymaceae	Slooffia	Slooffia cresolica
OTU_1330	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales			
OTU_1331	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius anthracinus
OTU_1332	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Waitea	Waitea circinata var. circinata
OTU_1333	Fungi	Basidiomycota	Gs25	Gs25			
OTU_1334	Fungi	Basidiomycota	Cystobasidiomycetes	Incertae_sedis	Microsporomycetaceae	Microsporomyces	Microsporomyces bloemfonteinensis
OTU_1335	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	
OTU_1336	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_1337	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_1338	Fungi	Basidiomycota	Agaricomycetes	Atheliales			
OTU_1339	Fungi	Basidiomycota	Agaricomycetes	Russulales	Albatrellaceae		
OTU_1340	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Durella	Durella connivens
OTU_1341	Fungi	Rozellomycota					
OTU_1342	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales			
OTU_1343	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_1344	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	
OTU_1345	Fungi	Basidiomycota	Agaricomycetes	Agaricales			
OTU_1346	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Arachnopeziza	
OTU_1347	Fungi	Ascomycota	Sordariomycetes	Sordariales			
OTU_1348	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae		
OTU_1349	Fungi	Ascomycota	Leotiomycetes	Helotiales	Incertae_sedis	Cadophora	Cadophora sp 
OTU_1350	Fungi	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Entophlyctis	Entophlyctis sp 
OTU_1351	Fungi	Basidiomycota	Tremellomycetes	Tremellales			
OTU_1352	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Scheffersomyces	
OTU_1353	Fungi	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	Umbelopsis dimorpha
OTU_1354	Fungi	Ascomycota					
OTU_1355	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales			
OTU_1356	Fungi	Ascomycota					
OTU_1357	Fungi	Basidiomycota	Agaricomycetes				
OTU_1358	Fungi	Ascomycota	Leotiomycetes	Helotiales			
