OTU_ID,taxonomy,Guild,Confidence Ranking
OTU_153,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe",Ectomycorrhizal,Probable
OTU_1573,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_badia_SH1502199.08FU",Ectomycorrhizal,Highly Probable
OTU_1587,"Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius_serifluus_SH1519131.08FU",Ectomycorrhizal,Highly Probable
OTU_159,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius_misermontii_SH1503793.08FU",Ectomycorrhizal,Highly Probable
OTU_1625,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_auricomella_SH1564840.08FU",Ectomycorrhizal,Probable
OTU_163,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_botryoides_SH1502231.08FU",Ectomycorrhizal,Highly Probable
OTU_1648,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_165,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Terfezia,Terfezia_alsheikhii_SH1510512.08FU",Ectomycorrhizal,Highly Probable
OTU_1656,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora",Ectomycorrhizal,Highly Probable
OTU_1661,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_1740,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_lapida_SH1528490.08FU",Ectomycorrhizal,Highly Probable
OTU_1746,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe",Ectomycorrhizal,Highly Probable
OTU_1753,"Fungi,Ascomycota,Lecanoromycetes",Ectomycorrhizal,Highly Probable
