OTU_ID,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,Taxon
OTU_471,28,44,82,12,4,26,28,12,4,168,868,170,42,46,172,110,116,204,12,82,304,68,52,118,96,426,46,Umbelopsis_dimorpha
OTU_28,0,10,0,0,0,1516,40,1724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leccinellum_corsicum
OTU_88,102,530,206,14,8,134,70,102,40,180,180,138,212,68,18,38,118,16,48,62,38,196,28,404,14,116,42,Umbelopsis_ramanniana
OTU_73,16,14,0,0,0,0,0,0,0,750,350,762,30,220,54,0,0,794,12,8,0,10,98,0,0,0,0,Archaeorhizomyces
OTU_138,76,24,176,0,0,0,6,322,400,16,140,8,116,144,0,96,168,374,334,4,20,34,20,34,78,90,372,Hyaloscypha_finlandica
OTU_76,102,4,26,594,236,240,0,244,28,86,622,52,68,74,28,100,38,42,0,42,100,0,18,42,66,108,38,Geopora
OTU_1756,104,148,192,148,170,486,112,18,352,14,124,28,48,42,62,12,38,32,40,76,96,128,136,78,124,34,80,Solicoccozyma_phenolica
OTU_87,8,62,82,20,10,30,56,126,24,166,1094,142,360,12,4,222,4,56,20,0,172,40,36,100,0,10,22,Cladophialophora
OTU_20,0,0,0,0,0,0,0,0,0,10,28,0,24,120,10,2590,0,4,0,0,0,6,0,0,0,0,0,Hebeloma_vinosophyllum
OTU_1553,10,10,16,18,46,114,266,396,872,36,56,10,14,6,34,12,4,0,40,106,56,44,300,104,42,58,52,Umbelopsis_changbaiensis
OTU_22,0,2434,4,0,16,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,Helotiales
OTU_129,10,6,22,0,4,0,38,22,30,0,166,12,30,136,106,188,56,26,606,252,32,518,0,32,218,0,0,Chaetomium_pachypodioides
OTU_23,0,0,0,0,0,0,4,0,0,4,0,0,2298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lyophyllum_fumosum
OTU_263,96,114,110,54,58,172,226,194,70,174,160,106,78,28,132,30,44,12,12,32,42,86,12,200,16,14,26,Helotiales
OTU_24,0,4,0,14,0,0,0,0,0,4,8,4,0,2250,0,4,0,0,0,0,0,0,0,0,0,0,0,Tricholoma_equestre
OTU_291,116,62,64,162,110,152,128,166,42,322,120,200,50,12,56,48,72,26,6,78,98,22,0,68,0,38,20,Helotiales
OTU_32,0,0,0,4,10,10,98,482,1560,0,0,0,0,0,0,0,0,0,0,20,0,0,6,4,0,0,0,Geomyces_auratus
OTU_29,8,0,0,0,0,0,40,0,4,0,8,0,40,4,0,0,0,4,52,108,272,16,34,1300,6,12,250,Helotiales
OTU_36,0,0,0,0,0,128,74,0,0,0,0,0,0,52,4,52,0,0,10,132,118,0,232,1158,116,0,6,Laccaria_bicolor
OTU_232,88,12,40,40,40,64,48,172,60,182,204,92,130,46,44,56,36,60,38,130,58,36,0,128,54,70,64,Herpotrichiellaceae
OTU_64,0,32,176,44,0,0,778,0,174,0,0,0,0,0,0,18,318,360,0,0,0,0,0,0,0,0,48,Mortierella_alpina
OTU_69,20,12,14,0,0,24,26,0,20,292,680,108,158,90,8,136,26,14,20,12,36,0,8,34,0,110,0,Mortierellales
OTU_125,422,0,60,166,0,618,10,0,0,16,4,0,28,326,0,0,0,4,130,0,24,0,0,0,8,0,30,Cortinarius_diasemospermus
OTU_177,154,174,18,18,28,16,0,20,8,468,158,202,186,94,74,10,8,58,4,60,34,8,0,0,0,28,4,Chaetothyriales
OTU_137,50,74,24,0,26,12,160,116,36,0,14,0,142,20,68,28,40,20,178,0,24,314,322,136,8,0,10,Cladophialophora
OTU_103,488,0,0,0,0,0,0,0,0,0,0,0,0,426,0,902,0,0,4,0,0,0,0,0,0,0,0,Inocybe
OTU_43,0,0,4,0,0,0,0,0,0,0,0,0,1160,0,0,94,0,14,492,0,0,0,0,6,12,0,0,Tricholoma_saponaceum
OTU_52,14,12,10,0,74,6,0,0,0,4,1022,114,62,156,58,38,16,14,0,46,12,10,10,20,32,20,8,Penicillium
OTU_1140,62,460,286,58,92,0,0,0,0,4,12,46,344,116,0,70,56,98,0,0,0,0,0,4,0,0,10,Bifiguratus_adelaidae
OTU_161,58,134,26,0,0,0,0,26,0,102,342,22,142,106,26,60,36,32,50,108,32,110,16,148,20,86,34,Helotiales
OTU_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628,0,0,6,0,0,Helotiales
OTU_70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,736,0,0,88,0,0,378,Russula_albonigra
OTU_33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588,0,0,0,0,0,0,0,Russula_cyanoxantha
OTU_233,142,26,14,8,4,108,68,64,10,86,250,200,74,0,68,26,78,58,12,0,94,0,0,106,0,56,18,Leohumicola
OTU_206,204,70,136,0,0,0,0,20,0,6,0,0,6,0,0,0,0,0,76,96,94,86,350,254,12,64,82,Lecanoromycetes
OTU_164,216,222,46,302,6,168,4,0,0,0,316,0,6,60,0,6,0,0,0,44,20,26,10,12,52,0,0,Delicatula_integrella
OTU_79,8,18,0,0,0,0,0,18,20,4,66,24,8,10,240,10,52,16,72,0,0,698,4,70,160,0,0,Epicoccum_nigrum
OTU_99,10,38,46,436,350,400,90,0,62,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Helotiaceae
OTU_143,62,20,0,0,0,0,0,0,0,28,134,22,170,30,16,58,48,38,216,14,82,258,102,80,12,10,26,Cladophialophora
OTU_97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,8,166,792,0,6,306,Herpotrichiellaceae
OTU_61,68,68,12,138,0,724,46,4,0,16,124,0,6,50,26,72,0,22,0,0,0,0,0,0,4,4,0,Lactarius_cistophilus
OTU_149,40,500,94,0,72,0,0,30,0,0,0,0,34,0,0,28,0,0,0,12,0,30,0,106,400,4,0,Sporormiaceae
OTU_127,32,0,0,0,4,0,0,0,0,100,374,10,26,114,42,6,0,0,40,46,108,12,160,148,30,88,0,Helotiales
OTU_94,46,0,0,0,0,0,74,0,0,0,516,12,0,276,0,42,0,14,10,0,44,0,14,12,196,0,76,Tomentella_badia
OTU_144,36,86,106,14,48,24,30,20,0,0,4,4,4,0,60,0,18,10,42,28,86,212,88,276,24,62,42,Helotiales
OTU_67,0,0,0,0,0,0,0,0,0,228,870,192,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,Inocybaceae
