#OTU ID	sample5	sample3	sample4	sample8	sample2	sample10	sample1	sample6	sample9	sample7
OTU_368	44	0	0	0	0	0	0	0	0	0
OTU_824	17	11	3	0	12	0	0	76	0	175
OTU_175	6	0	0	3	26	1	189	5	1	19
OTU_79	15	10	67	0	1321	3	115	7	5	18
OTU_408	7	0	29	0	0	0	0	0	0	0
OTU_904	8	0	0	0	0	0	0	0	0	0
OTU_977	11	3	0	2	56	6	6	63	2	43
OTU_1144	17	0	0	0	97	0	2	18	45	0
OTU_1012	4	0	0	12	3	3	68	11	18	31
OTU_303	48	0	1	8	0	0	0	27	0	0
OTU_1018	4	0	0	0	121	0	67	0	0	1
OTU_245	7	49	36	0	43	64	11	0	0	0
OTU_154	4	16	116	0	350	1	364	14	2	0
OTU_126	8	89	417	0	134	3	185	4	5	0
OTU_491	3	0	0	0	8	0	0	0	0	0
OTU_764	4	0	0	0	0	0	0	0	0	0
OTU_875	4	0	0	0	0	0	0	0	0	0
OTU_107	3	80	55	0	191	0	473	8	3	1
OTU_64	8	2214	67	0	169	3	20	1	1	1
OTU_1301	11	0	0	9	0	0	3	20	0	21
OTU_835	20	0	0	0	108	0	0	0	0	1
OTU_1104	2	0	0	0	0	0	0	0	0	0
OTU_919	8	0	0	1	171	0	0	0	0	0
OTU_300	8	2	2	1	23	0	35	3	1	0
OTU_707	5	0	0	0	0	0	0	0	0	0
OTU_990	7	0	0	3	0	2	516	4	0	5
OTU_4	12	7482	3671	4	10552	27	339	3	14	1
OTU_698	1	0	6	0	0	0	0	0	0	0
OTU_139	2	16	427	0	0	2	2	74	1	0
OTU_1161	9	55	11	0	49	0	0	0	1	45
OTU_1202	10	0	0	0	31	0	0	0	9	0
OTU_769	10	109	25	0	19	19	127	31	0	9
OTU_443	1	0	0	0	1	0	0	81	0	0
OTU_1064	3	0	0	7	0	0	1	8	0	61
OTU_172	1	1	0	0	0	0	0	483	0	0
OTU_476	1	3	72	0	9	0	5	1	0	0
OTU_264	1	103	94	0	0	0	0	0	1	0
OTU_1170	12	0	0	0	184	0	0	2	0	0
OTU_451	2	0	0	0	27	1	70	0	4	0
OTU_10	14	19	3	1	3	14	2	15123	5	4
OTU_1044	2	32	0	0	5	0	5	0	0	0
OTU_959	1	0	1	0	0	0	150	0	0	115
OTU_1357	3	0	0	0	0	0	0	0	0	0
OTU_969	6	14	1	11	56	33	4	29	0	32
OTU_610	6	0	0	0	0	0	0	0	0	0
OTU_927	2	1	12	1	26	2	8	0	1	1
OTU_1313	2	0	0	0	0	0	81	7	3	16
OTU_468	12	30	41	0	22	18	9	1	3	8
OTU_8	2	5	19	1	12152	10	8	3	3	0
OTU_277	3	7	41	0	0	0	26	0	1	6
OTU_697	6	0	0	0	0	0	0	0	0	0
OTU_1383	2	0	0	0	0	0	0	0	6	0
OTU_684	7	0	2	215	0	0	0	0	0	7
OTU_302	4	35	163	0	804	1	18	14	15	3
OTU_59	1	1	0	0	1921	2	1	0	0	2
OTU_532	2	0	8	0	36	1	2	0	1	3
OTU_238	1	0	0	0	0	0	0	273	0	0
OTU_719	5	0	0	0	0	0	16	7	0	280
OTU_1110	3	0	0	23	109	5	2	41	0	25
OTU_76	6	1	0	0	2	4	0	3147	2	0
OTU_101	3	1	0	0	0	1	0	2059	0	0
OTU_679	3	0	0	3	0	441	0	3	0	1
OTU_960	3	0	0	107	0	0	0	0	0	0
OTU_72	9	12	98	0	595	7	1923	31	18	9
OTU_972	1	1	143	0	0	0	48	0	1	0
OTU_650	3	0	0	33	0	0	0	505	0	89
OTU_1091	1	0	0	0	56	1	0	30	0	42
OTU_1254	1	0	1	0	5	0	22	0	35	1
OTU_700	4	0	0	0	275	0	190	21	0	53
OTU_200	1	0	0	0	0	1	0	179	0	0
OTU_181	3	0	4	0	45	1	188	2	41	1
OTU_1268	2	0	0	2	60	0	2	1	0	1
OTU_16	1	2	1	0	1	10	8018	1	2	0
OTU_113	7	3	620	2	39	1	191	3	0	0
OTU_1079	4	0	0	0	3	1	29	34	0	83
OTU_579	3	0	6	16	120	2	85	22	3	15
OTU_171	1	1	0	0	0	1	0	471	1	0
OTU_1385	2	1	0	0	2	0	0	0	0	0
OTU_981	3	0	0	0	0	0	0	0	0	0
OTU_198	1	6	11	0	45	1	174	1	0	0
OTU_57	1	2	1	0	0	1	2117	1	0	0
OTU_965	1	0	0	0	0	119	0	0	0	0
OTU_435	1	41	8	0	0	0	0	0	0	0
OTU_736	3	9	64	0	0	0	48	0	0	0
OTU_659	1	11	2	0	0	0	1	1	0	0
OTU_586	2	5	12	1	8	0	4	1	1	1
OTU_323	1	0	38	0	0	0	1	0	0	2
OTU_98	4	23	367	7	334	0	171	9	8	22
OTU_877	2	1	0	0	60	0	38	14	0	0
OTU_1335	1	0	30	0	26	0	21	2	2	1
OTU_60	1	2	0	2	1	2	1960	0	0	1
OTU_892	2	0	0	220	0	0	1	0	0	0
OTU_1322	2	0	0	0	0	0	111	0	0	0
OTU_1300	1	0	0	0	0	0	0	0	35	0
OTU_347	1	0	0	0	52	0	2	0	0	1
OTU_58	1	1	0	0	0	5	1881	1	1	0
OTU_506	2	1670	1142	0	3	4	2	0	1	9
OTU_195	1	1	0	0	0	0	0	277	0	0
OTU_787	1	0	0	21	0	0	224	0	0	0
OTU_1033	2	0	0	0	0	0	0	0	0	0
OTU_1034	1	0	1	0	1	0	0	0	0	0
OTU_1342	1	0	0	1	0	2	273	7	0	2
OTU_920	3	0	0	99	0	0	0	0	0	0
OTU_108	1	0	0	1	778	1	0	1	0	0
OTU_65	3	1	1	0	0	9	4485	1	3	0
OTU_1084	3	0	0	0	0	0	0	0	0	0
OTU_141	3	3	1	1	0	1	2	2145	1	0
OTU_185	1	0	1	0	0	2	0	281	0	0
OTU_1349	1	0	0	0	0	14	64	94	31	4
OTU_316	1	0	0	0	0	0	0	224	1	0
OTU_153	2	26	323	2	41	0	32	0	1	0
OTU_100	1	0	0	0	0	2	841	60	0	0
OTU_41	1	1463	1630	0	1	2	0	2	0	1
OTU_699	2	0	279	0	0	0	0	0	0	0
OTU_240	1	0	1	0	214	0	0	0	0	0
OTU_32	1	2	0	0	1	10	4159	1	1	0
OTU_592	2	0	0	2	0	2	48	560	2	0
OTU_257	3	8	24	8	9	12	15	7	5	10
OTU_24	1	3	5654	0	3	4	12	2	3	2
OTU_1093	2	0	0	0	140	0	0	0	0	27
OTU_494	1	1	1	1	0	6	0	221	0	1779
OTU_276	1	0	0	0	0	0	0	107	0	0
OTU_204	1	1	0	0	0	0	0	521	0	0
OTU_403	1	0	0	0	0	0	0	56	0	0
OTU_327	1	1	0	0	0	0	0	196	1	3
OTU_1065	1	0	0	1	0	0	2	0	0	0
OTU_1384	1	0	0	1	0	0	0	0	17	0
OTU_54	1	2	0	0	2161	1	0	1	0	0
OTU_1262	1	0	0	0	0	0	18	75	1	9
OTU_522	5	0	0	631	1	2	563	424	54	2
OTU_809	2	0	0	0	0	1	0	0	0	0
OTU_123	1	0	0	0	0	0	816	1	4	1
OTU_373	1	0	0	0	0	0	0	134	0	0
OTU_44	1	1710	1556	0	5	4	1	0	0	0
OTU_1037	1	1	0	0	0	0	0	331	0	0
OTU_315	1	3	0	0	0	0	0	701	0	0
OTU_851	1	0	0	0	0	0	0	158	0	0
OTU_798	1	1	0	0	159	8	0	0	0	1
OTU_114	1	0	0	0	1	1	0	698	0	0
OTU_517	1	0	0	0	0	0	0	0	54	0
OTU_454	1	9	13	0	10	0	1	0	0	0
OTU_737	2	2	2	2	11	0	6	0	0	4
OTU_438	1	3	0	0	2	3	3230	1	1	0
OTU_320	1	0	0	0	0	0	0	75	0	0
OTU_160	1	0	0	0	0	0	0	509	0	0
OTU_339	1	0	0	0	26	0	30	0	0	0
OTU_1374	1	1	0	0	0	1	8	58	0	1
OTU_1311	1	80	0	1	0	3	2	25	0	1
OTU_989	1	0	135	0	2	0	18	3	1	0
OTU_604	1	0	0	1	20	0	3	0	0	0
OTU_197	1	0	0	0	0	1	0	417	1	0
OTU_150	1	2	0	0	2	1	0	565	0	0
OTU_42	1	3	0	0	3084	3	1	1	0	0
OTU_133	1	2	0	0	1	2	0	885	1	0
OTU_165	1	0	0	0	0	0	0	444	0	0
OTU_36	1	1	2	0	3650	3	2	0	0	2
OTU_412	1	0	0	0	0	0	0	0	70	0
OTU_360	1	3	1	1	5573	4	1	0	0	1
OTU_143	1	0	0	0	433	0	0	0	0	0
OTU_129	1	1	0	0	0	0	0	854	0	0
OTU_434	1	0	0	0	1	1	0	322	0	0
OTU_13	1	6	0	0	4	9	7588	3	3	0
OTU_187	1	0	220	0	36	0	0	0	0	0
OTU_106	1	0	0	0	830	0	0	0	0	0
OTU_294	1	1	0	1	0	6	3538	0	0	0
OTU_511	1	1	5	0	11	0	7	0	0	1
OTU_205	1	0	6	44	127	0	0	0	0	0
OTU_111	1	1	0	0	1873	2	0	0	0	0
OTU_12	1	7331	6654	2	17	25	4	5	4	0
OTU_9	1	9	1	1	12001	13	1	2	2	0
OTU_571	1	0	0	0	0	0	37	0	4	24
OTU_379	0	1587	897	0	3	2	0	1	0	0
OTU_704	0	364	0	0	0	0	0	0	0	0
OTU_20	0	3615	3210	0	5	9	0	1	1	0
OTU_135	0	448	23	3	60	0	79	1	0	0
OTU_61	0	1890	96	0	72	3	7	2	0	0
OTU_134	0	171	330	0	22	1	0	0	0	0
OTU_602	0	759	48	0	3	2	0	1	0	0
OTU_425	0	2045	38	0	7	3	0	0	1	0
OTU_453	0	19	0	0	0	0	0	0	0	0
OTU_177	0	212	197	0	2	0	0	0	0	0
OTU_670	0	363	205	0	2	0	0	0	0	0
OTU_570	0	677	24	0	1	0	0	0	0	0
OTU_507	0	786	250	0	2	2	0	1	0	1
OTU_212	0	142	0	0	0	0	0	0	0	0
OTU_439	0	621	442	0	2	0	0	0	0	0
OTU_662	0	305	152	0	1	1	0	0	0	0
OTU_1149	0	10	1	0	1	0	1	0	0	0
OTU_1368	0	3	0	0	0	0	0	0	0	0
OTU_345	0	3949	4	0	7	1	1	0	2	0
OTU_496	0	22	4	1	2	0	2	0	0	0
OTU_40	0	1899	1828	0	5	4	0	1	1	1
OTU_121	0	1006	647	0	3	0	1	0	1	0
OTU_14	0	5114	3608	0	10	9	1	4	3	1
OTU_274	0	73	6	0	1	0	0	0	0	0
OTU_1165	0	35	1	0	0	0	0	0	0	0
OTU_790	0	144	74	0	0	0	0	0	0	0
OTU_1051	0	176	0	0	0	0	0	0	0	0
OTU_585	0	503	0	0	2	0	0	0	0	0
OTU_31	0	4	1	0	1	5	3818	0	0	0
OTU_375	0	4	20	0	4	0	4	2	0	0
OTU_68	0	1743	1453	0	4	3	2	0	1	0
OTU_827	0	262	138	0	3	0	0	0	1	2
OTU_63	0	1421	443	0	1	2	1	0	0	0
OTU_149	0	300	199	0	1	0	0	0	1	0
OTU_372	0	22	22	0	5	0	0	0	0	0
OTU_62	0	1254	1022	0	4	1	1	1	1	0
OTU_178	0	205	188	0	1	3	0	0	0	0
OTU_918	0	682	180	0	3	2	0	0	0	1
OTU_783	0	243	159	0	0	0	0	0	0	0
OTU_742	0	378	16	0	1	1	0	0	0	0
OTU_406	0	53	82	0	0	1	0	0	0	0
OTU_666	0	216	420	0	1	0	0	0	0	0
OTU_309	0	965	906	0	2	1	1	0	2	0
OTU_675	0	186	1	0	0	0	0	0	0	0
OTU_746	0	255	171	0	2	1	0	0	0	0
OTU_1359	0	398	115	0	3	2	0	0	0	0
OTU_551	0	182	123	0	36	1	3	0	0	0
OTU_465	0	553	900	0	1	1	0	0	0	0
OTU_1220	0	76	35	0	0	0	0	0	0	0
OTU_152	0	218	135	0	0	0	0	0	0	0
OTU_934	0	43	193	0	0	0	0	0	0	0
OTU_785	0	216	101	0	0	0	0	0	0	0
OTU_646	0	338	389	0	0	1	0	0	0	0
OTU_221	0	185	48	0	1	0	0	0	0	0
OTU_211	0	99	38	0	1	0	0	0	0	0
OTU_424	0	38	35	0	0	0	0	0	0	0
OTU_293	0	162	88	0	0	0	0	0	0	0
OTU_687	0	201	189	0	182	1	1	0	0	0
OTU_82	0	786	626	0	4	2	0	0	0	0
OTU_842	0	93	122	0	0	0	0	0	1	0
